ubicacion;subUbicacion;clase;subclase;nombre;marca;modelo;serie;numeroInventario;ano;vidaUtil;propietario;estado;criticidad;garantia;vencimientoGarantia;planMantencion;tipoEquipo;idConvenio;idInstitucion;eliminado
ESTERILIZACION;HOSPITAL DE ARAUCO;ESTERILIZACION;ALTO COSTO;AUTOCLAVE;TRANS GE;SMART 250;TR-250-TM10-090120-01;21-14902;2022;8;PROPIO;BUENO;RELEVANTE;1;;;medico;0;2;0
SEDILE;HOSPITAL DE ARAUCO;ESTERILIZACION;ALTO COSTO;AUTOCLAVE;OPPICI;HR570A1;311297;21-13530;2020;8;PROPIO;BUENO;RELEVANTE;;;;medico;0;2;0
MEDICINA;HOSPITAL DE ARAUCO;APOYO TERAPEUTICO;BAJO COSTO;BOMBA DE ASPIRACION;MEDITECH;M-820D1;-;21-13298;2020;8;PROPIO;BUENO;RELEVANTE;;;;medico;0;2;0
MEDICINA;HOSPITAL DE ARAUCO;APOYO QUIRURGICO;BAJO COSTO;BOMBA DE ASPIRACION;MEDITECH;M-820D1;-;21-13299;2020;8;PROPIO;BUENO;RELEVANTE;;;;medico;0;2;0
MEDICINA;HOSPITAL DE ARAUCO;APOYO QUIRURGICO;BAJO COSTO;BOMBA DE ASPIRACION;MEDITECH;M-820D1;-;21-13300;2020;8;PROPIO;BUENO;RELEVANTE;;;;medico;0;2;0
MEDICINA;HOSPITAL DE ARAUCO;APOYO QUIRURGICO;BAJO COSTO;BOMBA DE ASPIRACION;MEDITECH;M-820D1;-;21-13301;2020;8;PROPIO;BUENO;RELEVANTE;;;;medico;0;2;0
PEDIATRIA;HOSPITAL DE ARAUCO;APOYO QUIRURGICO;BAJO COSTO;BOMBA DE ASPIRACION;MEDITECH;M-820D1;-;21-13302;2020;8;PROPIO;BUENO;RELEVANTE;;;;medico;0;2;0
URGENCIA;HOSPITAL DE ARAUCO;APOYO QUIRURGICO;BAJO COSTO;BOMBA DE ASPIRACION;MEDITECH;M-820D1;-;21-13303;2020;8;PROPIO;BUENO;RELEVANTE;;;;medico;0;2;0
PEDIATRIA;HOSPITAL DE ARAUCO;APOYO QUIRURGICO;BAJO COSTO;BOMBA DE ASPIRACION;THOMAS;1242;4754;21-12862;2019;8;PROPIO;BUENO;RELEVANTE;;;;medico;0;2;0
PABELLON;HOSPITAL DE ARAUCO;APOYO QUIRURGICO;MEDIANO COSTO;BOMBA DE ASPIRACION QUIRURGICA;HOSPIVAC;CA-MI;11332;21-12663  ;2019;8;PROPIO;BUENO;RELEVANTE;;;;medico;0;2;0
PABELLON;HOSPITAL DE ARAUCO;APOYO QUIRURGICO;MEDIANO COSTO;BOMBA DE ASPIRACION QUIRURGICA;HOSPIVAC;CA-MI;11331;21-12664;2019;8;PROPIO;BUENO;RELEVANTE;;;;medico;0;2;0
URGENCIA;HOSPITAL DE ARAUCO;MOBILIARIO;CLINICO;CAMILLA HIDRAULICA;TRANSFERENCIA;SKB041-4;S/N;21-13098;2019;8;PROPIO;BUENO;RELEVANTE;;;;medico;0;2;0
URGENCIA;HOSPITAL DE ARAUCO;MOBILIARIO;CLINICO;CAMILLA HIDRAULICA;TRANSFERENCIA;SKB041-4;S/N;21-13099;2019;8;PROPIO;BUENO;RELEVANTE;;;;medico;0;2;0
URGENCIA;HOSPITAL DE ARAUCO;MOBILIARIO;CLINICO;CAMILLA HIDRAULICA;TRANSFERENCIA;SKB041-4;S/N;21-13100;2019;8;PROPIO;BUENO;RELEVANTE;;;;medico;0;2;0
