ubicacion;subUbicacion;clase;subclase;nombre;marca;modelo;estado;normativa;garantia;vencimientoGarantia;planMantencion;tipoEquipo;idConvenio;idInstitucion;eliminado
TRANSPORTE VERTICAL;TRANSPORTE VERTICAL [PISO MECANICO EDIF C 5];Transporte vertical;Transporte de Personas;ASCENSOR NRO 1 PASAJEROS;OTIS  ;MMR-PA13(1000)-CO060-05/05;BUENO;;;;1;industrial;0;4;0
TRANSPORTE VERTICAL;TRANSPORTE VERTICAL [PISO MECANICO EDIF C 5];Transporte vertical;Transporte de Personas;ASCENSOR NRO 2 PASAJEROS;OTIS;MMR-PA13(1000)-CO060-05/05;BUENO;;;;1;industrial;0;4;0
TRANSPORTE VERTICAL;TRANSPORTE VERTICAL [PISO MECANICO EDIF C 5];Transporte vertical;Transporte de Personas;ASCENSOR NRO 3 MONTACAMILLAS;OTIS ;Di1-BA30(2000)-2S060-06/06;BUENO;;;;1;industrial;0;4;0
TRANSPORTE VERTICAL;TRANSPORTE VERTICAL [PISO MECANICO EDIF C 5];Transporte vertical;Transporte de Personas;ASCENSOR NRO 4 MONTACAMILLAS6;OTIS ;Di1-BA30(2000)-2S060-06/0;MALO;;;;1;industrial;0;4;0
CENTRAL TERMICA Y CLIMA ;CENTRAL TERMICA Y CLIMA [CS-XXX CENTRAL TERMICA];Energia;Calorica;CALDERA;IVAR ;SUPERAC 290;BUENO;;;;1;industrial;0;4;0
CENTRAL TERMICA Y CLIMA ;CENTRAL TERMICA Y CLIMA [CS-XXX CENTRAL TERMICA];Energia;Calorica;CALDERA;IVAR ;SUPERAC 810;BUENO;;;;1;industrial;0;4;0
CENTRAL TERMICA Y CLIMA ;CENTRAL TERMICA Y CLIMA [CS-XXX CENTRAL TERMICA];Energia;Calorica;CALDERA;IVAR ;SUPERAC 810;BUENO;;;;1;industrial;0;4;0
SALA ELECTRICA;ELECTRICIDAD [SUBTERRANEO C];Energia;Electrica;EQUIPO ELECTROGERNO;DIPERK ;PS550E 550KVA;BUENO;;;;1;industrial;0;4;0
SALA ELECTRICA;ELECTRICIDAD [SUBTERRANEO C];Energia;Electrica;EQUIPO ELECTROGERNO;DIPERK ; PS550E 550KVA;BUENO;;;;1;industrial;0;4;0
LAVANDERIA;LAVANDERIA [E-001 LAVANDERIA];Apoyo industrial;Lavado;LAVADORA INDUSTRIAL;IPSO ;IHM067DNHP1EE01/ 52,5kW;BUENO;;;;1;industrial;0;4;0
