ubicacion;subUbicacion;clase;subclase;nombre;marca;modelo;serie;numeroInventario;ano;vidaUtil;propietario;estado;criticidad;garantia;vencimientoGarantia;planMantencion;tipoEquipo;idConvenio;idInstitucion;eliminado
LABORATORIO [D-101];LABORATORIO [D-101];Apoyo Diagnostico;Alto Costo;analizador bioquimica clinica;Jhonson&Jhonson;4600;S/N;S/N;2014;8;COMODATO;BUENO;RELEVANTE;;;1;medico;0;4;0
URGENCIA;URGENCIA;Apoyo Diagnostico;Mediano Costo;ANALIZADOR DE PACIENTE ;I-STAT 1;300-G;360987;COMODADO;2013;8;COMODATO;BUENO;NO APLICA;;;0;medico;0;4;0
LABORATORIO [D-101];LABORATORIO [D-101];Laboratorio/Farmac;Alto Costo;ANALIZADOR HBA1;TOSOH;SIN INFORMACION;SIN INFORMACION;S/N;2014;8;PROPIO;BUENO;RELEVANTE;;;1;medico;0;4;0
LABORATORIO [D-101];LABORATORIO [D-101];Apoyo Diagnostico;Alto Costo;analizador hematologico;El oferente ;xs 1000i;S/N;S/N;2014;8;COMODATO;BUENO;RELEVANTE;;;1;medico;0;4;0
OFTALMOLOGIA [E-XX];OFTALMOLOGIA [E-XX];Apoyo Diagnostico;Mediano Costo;ANGIOGRAFO;CARL ZEISS MEDITEC AC / ;VISUCAM 500;1101304;S/N;2013;8;PROPIO;BUENO;RELEVANTE;;;1;medico;0;4;0
PABELLON [C-130 PABELLON 1];PABELLON [C-130 PABELLON 1];Apoyo Quirurgico;Alto Costo;ASTROSCOPIO;ERBE ;V/O 300 D;11390250;S/N;2015;8;PROPIO;BUENO;RELEVANTE;;;1;medico;0;4;0
CENTRAL ALIMENTACION [SEDILE];CENTRAL ALIMENTACION [SEDILE];Esterilizacion;Alto Costo;AUTOCLAVE;OPPICCI ;HR0070S1 70 LTS /      19,5kW;105402;S/N;2013;10;PROPIO;BUENO;RELEVANTE;;;1;medico;0;4;0
ESTERILIZACION [C-027 CENTRAL ESTERILIZACION];ESTERILIZACION [C-027 CENTRAL ESTERILIZACION];Esterilizacion;Alto Costo;AUTOCLAVE;MATACHANA ;S1000 445 LTS / 60kW;E26739;S/N;2012;10;PROPIO;BUENO;RELEVANTE;;;1;medico;0;4;0
ESTERILIZACION [C-027 CENTRAL ESTERILIZACION];ESTERILIZACION [C-027 CENTRAL ESTERILIZACION];Esterilizacion;Alto Costo;AUTOCLAVE;TUTTNAUER ;3850 EA 50 LTS    / 2,2kW;V202762;S/N;2011;10;PROPIO;BUENO;RELEVANTE;;;1;medico;0;4;0
ESTERILIZACION [C-027 CENTRAL ESTERILIZACION];ESTERILIZACION [C-027 CENTRAL ESTERILIZACION];Apoyo Quirurgico;Alto Costo;AUTOCLAVE;GETINGE;TRANS; TR-250-TM10-090120-02;S/N;2020;10;PROPIO;BUENO;RELEVANTE;;;1;medico;0;4;0
OFTALMOLOGIA [E-XX];OFTALMOLOGIA [E-XX];Apoyo Diagnostico;Alto Costo;AUTOREFRACTOMETRO;NIDEK TONOREF ;RKT-7700;734357;S/N;2012;8;PROPIO;BUENO;RELEVANTE;;;1;medico;0;4;0
LABORATORIO [D-101];LABORATORIO [D-101];Laboratorio/Farmac;Bajo Costo;BAÑO TERMOREGULADOR;K YCW;03S;114745;S/N;2011;8;PROPIO;BUENO;NO APLICA;;;1;medico;0;4;0
PABELLON;PABELLON;Apoyo Endoscopico;Alto Costo;BOMBA;KARLZ STORZ;ARTHROPUMP 283407;TU 1182;S/N;2014;5;PROPIO;BUENO;RELEVANTE;;;1;medico;0;4;0
MANTENCION [N/D];MANTENCION [N/D];Apoyo Quirurgico;Bajo Costo;BOMBA ASPIRACION PORTATIL;SPENCER 360 ;EMERGENCE SOLUTION;SIN INFORMACION;S/N;2013;10;PROPIO;BUENO;RELEVANTE;;;1;medico;0;4;0
MEDICINA [C-4XX ESTACION ENFERMERIA];MEDICINA [C-4XX ESTACION ENFERMERIA];Apoyo Quirurgico;Bajo Costo;BOMBA ASPIRACION PORTATIL;ES;SUF01;132049388;S/N;2013;10;PROPIO;BUENO;RELEVANTE;;;1;medico;0;4;0
PABELLON [C-128 PASILLO PABELLON];PABELLON [C-128 PASILLO PABELLON];Apoyo Quirurgico;Bajo Costo;BOMBA ASPIRACION PORTATIL;EMG TECHNOLOGY ;SUF01;132049374;S/N;2013;10;PROPIO;BUENO;RELEVANTE;;;1;medico;0;4;0
PABELLON [C-129 PABELLON 2];PABELLON [C-129 PABELLON 2];Apoyo Quirurgico;Bajo Costo;BOMBA ASPIRACION PORTATIL;EMG TECHNOLOGY ;SUF01;B2049362;S/N;2013;10;PROPIO;BUENO;RELEVANTE;;;1;medico;0;4;0
PABELLON [C-129 PABELLON 2];PABELLON [C-129 PABELLON 2];Apoyo Quirurgico;Bajo Costo;BOMBA ASPIRACION PORTATIL;VACUUM REGULATOR; CVR 6-1226;GFHP40509;S/N;2013;10;PROPIO;BUENO;RELEVANTE;;;1;medico;0;4;0
PABELLON [C-130 PABELLON 1];PABELLON [C-130 PABELLON 1];Apoyo Quirurgico;Bajo Costo;BOMBA ASPIRACION PORTATIL;EMG TECHNOLOGY ;SUF01;132049371;S/N;2013;10;PROPIO;BUENO;RELEVANTE;;;1;medico;0;4;0
PABELLON [C-130 PABELLON 1];PABELLON [C-130 PABELLON 1];Apoyo Quirurgico;Bajo Costo;BOMBA ASPIRACION PORTATIL;VACUUM REGULATOR ;CVR 6-1226;GFHP40508;S/N;2013;10;PROPIO;BUENO;RELEVANTE;;;1;medico;0;4;0
PABELLON [C-141 POST OPERADO];PABELLON [C-141 POST OPERADO];Apoyo Quirurgico;Bajo Costo;BOMBA ASPIRACION PORTATIL;EMG TECHNOLOGY ;SUF01;132049358;S/N;2013;10;PROPIO;BUENO;RELEVANTE;;;1;medico;0;4;0
PABELLON DE CIRUGIA MENOR [E-117 PABELLON CIRUGIA MENOR];PABELLON DE CIRUGIA MENOR [E-117 PABELLON CIRUGIA MENOR];Apoyo Quirurgico;Bajo Costo;BOMBA ASPIRACION PORTATIL;KIOTO ;SU-990;1216730;S/N;2012;10;PROPIO;BUENO;RELEVANTE;;;1;medico;0;4;0
PARTO [C-133];PARTO [C-133];Apoyo Quirurgico;Bajo Costo;BOMBA ASPIRACION PORTATIL;SPENCER 360 ;EMERGENCE SOLUTION;1932;S/N;2014;10;PROPIO;BUENO;RELEVANTE;;;1;medico;0;4;0
PEDIATRIA [C-301 ESTACION ENFERMERIA];PEDIATRIA [C-301 ESTACION ENFERMERIA];Apoyo Quirurgico;Bajo Costo;BOMBA ASPIRACION PORTATIL;EMG TECHNOLOGY SUF01;SIN INFORMACION;B2049391;S/N;2013;10;PROPIO;BUENO;RELEVANTE;;;1;medico;0;4;0
POR DEFINIR;POR DEFINIR;Apoyo Quirurgico;Bajo Costo;BOMBA ASPIRACION PORTATIL;SPENCER 360 ;EMERGENCE SOLUTION;2599;S/N;2014;10;PROPIO;BUENO;RELEVANTE;;;1;medico;0;4;0
POR DEFINIR;POR DEFINIR;Apoyo Quirurgico;Bajo Costo;BOMBA ASPIRACION PORTATIL;SPENCER 360 ;EMERGENCE SOLUTION;1936;S/N;2014;10;PROPIO;BUENO;RELEVANTE;;;1;medico;0;4;0
POR DEFINIR;POR DEFINIR;Apoyo Quirurgico;Bajo Costo;BOMBA ASPIRACION PORTATIL;SPENCER 360 ;EMERGENCE SOLUTION;1950;S/N;2014;10;PROPIO;BUENO;RELEVANTE;;;1;medico;0;4;0
URGENCIAS [A-138 REANIMACION];URGENCIAS [A-138 REANIMACION];Apoyo Quirurgico;Bajo Costo;BOMBA ASPIRACION PORTATIL;EMG TECHNOLOGY ;SUF01;132049389;S/N;2013;10;PROPIO;BUENO;RELEVANTE;;;1;medico;0;4;0
URGENCIAS [A-138 REANIMACION];URGENCIAS [A-138 REANIMACION];Apoyo Quirurgico;Bajo Costo;BOMBA ASPIRACION PORTATIL;EMG TECHNOLOGY ;SUF01;132049390;S/N;2013;10;PROPIO;BUENO;RELEVANTE;;;1;medico;0;4;0
URGENCIAS [A-138 REANIMACION];URGENCIAS [A-138 REANIMACION];Apoyo Quirurgico;Bajo Costo;BOMBA ASPIRACION PORTATIL;VACUUM REGULATOR ;CVR 6-1226;SIN INFORMACION;S/N;2014;10;PROPIO;BUENO;RELEVANTE;;;1;medico;0;4;0
POR DEFINIR;POR DEFINIR;Apoyo Quirurgico;Mediano Costo;BOMBA ASPIRACION PORTATIL;MEDIAIR;E250875;132049395;S/N;2018;8;PROPIO;BUENO;NO APLICA;;;1;medico;0;4;0
POR DEFINIR;POR DEFINIR;Apoyo Quirurgico;Mediano Costo;BOMBA ASPIRACION PORTATIL;MEDIAIR;E250875;123049380;S/N;2018;8;PROPIO;BUENO;NO APLICA;;;1;medico;0;4;0
MEDICO QUIRURGICO ZOCALO;MEDICO QUIRURGICO ZOCALO;Apoyo Quirurgico;Bajo Costo;BOMBA ASPIRACION PORTATIL;YUWELL;7E-C;3;S/N;2021;5;PROPIO;BUENO;NO APLICA;;;1;medico;0;4;0
AMBULANCIA SAMU BASICO;AMBULANCIA SAMU BASICO;Apoyo Quirurgico;Bajo Costo;BOMBA ASPIRACION PORTATIL;ASKIR BR;CAMI;22166;S/N;2020;8;PROPIO;BUENO;NO APLICA;;;1;medico;0;4;0
AMBULANCIA SAMU AVANZADO;SAMU AVANZADA;Apoyo Quirurgico;Bajo Costo;BOMBA ASPIRACION PORTATIL;SPENCER;SC75650C;OP3-20-06857-01-0028;S/N;2020;8;PROPIO;BUENO;NO APLICA;;;1;medico;0;4;0
MEDICINA [C-4XX ESTACION ENFERMERIA];MEDICINA [C-4XX ESTACION ENFERMERIA];Apoyo Terapeutico;Mediano Costo;BOMBA DE INFUSION CONTINUA;MEDIFUSION ;DI2000;DI20EXP1301045;S/N;2014;8;PROPIO;BUENO;RELEVANTE;;;1;medico;0;4;0
URGENCIAS [A-138 REANIMACION];URGENCIAS [A-138 REANIMACION];Apoyo Terapeutico;Mediano Costo;BOMBA DE INFUSION CONTINUA;FRESENIUS KABI VOLUMAT ;MC AGILIA E;019180/21908360;S/N;2014;8;PROPIO;BUENO;RELEVANTE;;;1;medico;0;4;0
MEDICINA [C-HOMBRES];MEDICINA [C-HOMBRES];Apoyo Terapeutico;Mediano Costo;BOMBA DE INFUSION CONTINUA;VYM ;ACCUMATE 2300;213409GL24;S/N;2011;8;PROPIO;REGULAR;RELEVANTE;;;1;medico;0;4;0
OFICINA MANTENION;OFICINA MANTENION;Apoyo Terapeutico;Mediano Costo;BOMBA DE INFUSION CONTINUA;VOLUMED ;VP5005;2471611;S/N;2014;8;PROPIO;MALO;RELEVANTE;;;1;medico;0;4;0
PARTO [C-101];PARTO [C-101];Apoyo Terapeutico;Mediano Costo;BOMBA DE INFUSION CONTINUA;MEDIFUSION ;DI2000;DI120EXP1211217;S/N;2012;8;PROPIO;BUENO;RELEVANTE;;;1;medico;0;4;0
OFICINA MANTENION;OFICINA MANTENION;Apoyo Terapeutico;Mediano Costo;BOMBA DE INFUSION CONTINUA; VOLUMED ;VP 5005 ;658108;S/N;2011;8;PROPIO;MALO;RELEVANTE;;;1;medico;0;4;0
URGENCIAS [A-138 REANIMACION];URGENCIAS [A-138 REANIMACION];Apoyo Diagnostico;Bajo Costo;BOMBA DE INFUSION CONTINUA;B BRAUN;INFUSOMAT SPACE ;524180;S/N;2019;8;PROPIO;BUENO;RELEVANTE;;;1;medico;0;4;0
MEDICINA [C-HOMBRES];MEDICINA [C-HOMBRES];Apoyo Diagnostico;Bajo Costo;BOMBA DE INFUSION CONTINUA;B BRAUN;INFUSOMAT SPACE ;518025;S/N;2019;8;PROPIO;BUENO;RELEVANTE;;;1;medico;0;4;0
MEDICINA [C-MUJER];MEDICINA [C-MUJER];Apoyo Diagnostico;Bajo Costo;BOMBA DE INFUSION CONTINUA;B BRAUN;INFUSOMAT SPACE ;523983;S/N;2019;8;PROPIO;BUENO;RELEVANTE;;;1;medico;0;4;0
