ubicacion;subUbicacion;clase;subclase;nombre;marca;modelo;serie;numeroInventario;ano;vidaUtil;propietario;estado;criticidad;garantia;vencimientoGarantia;planMantencion;tipoEquipo;idConvenio;idInstitucion;eliminado
Laboratorio;Hospital de Contulmo;Apoyo Quirurgico;Mediano Costo;CENTRIFUGA;EPPENDORF;5702;;1420;;8;PROPIO;;IM ? 12;;;1;medico;0;5;0
Laboratorio;Hospital de Contulmo;Apoyo Diagnostico;Bajo Costo;MICROSCOPIO;OLYMPUS;CX31;31RBSFA;1395;;10;PROPIO;;IM ? 12;;;1;medico;0;5;0
Laboratorio;Hospital de Contulmo;Monitoreo;Alto Costo;ESTUFA DE CULTIVO;MEMMERT;;;1679;;8;PROPIO;;IM ? 12;;;1;medico;0;5;0
Laboratorio;Hospital de Contulmo;Imagenologia;Alto Costo;AGITADOR DE MUESTRAS;SHAKER;VRN-360;16528;1398;;8;PROPIO;;IM ? 12;;;1;medico;0;5;0
Laboratorio;Hospital de Contulmo;Monitoreo;Mediano Costo;CENTRIFUGA;HETTICH;2104;207;1399;;8;PROPIO;;IM ? 12;;;1;medico;0;5;0
Laboratorio;Hospital de Contulmo;Monitoreo;Mediano Costo;CONTADOR DE CELULAS;PL ELECTRONICA;P-L;3113;;;8;PROPIO;;IM ? 12;;;1;medico;0;5;0
Laboratorio;Hospital de Contulmo;Monitoreo;Mediano Costo;BAÑO TERMO REGULADOR;PL ELECTRONICA;P-L;2826;;;10;PROPIO;;IM ? 12;;;1;medico;0;5;0
Laboratorio;Hospital de Contulmo;Apoyo Quirurgico;Mediano Costo;PURIFICADOR DE AGUA;vigablow;;14146;1367;;8;PROPIO;;IM ? 12;;;1;medico;0;5;0
Medicina;Hospital de Contulmo;Odontologia;Mediano Costo;MONITOR MULTIPARAMETROS;DRAGER;VISTA-120;VTCHM0102;714;;8;PROPIO;;CRITICO;;;1;medico;0;5;0
Medicina;Hospital de Contulmo;Odontologia;Mediano Costo;MONITOR CARDIOFETAL;cronometric;171;SAS10154945PA;705;;8;PROPIO;;IM ? 12;;;1;medico;0;5;0
Medicina;Hospital de Contulmo;Laboratorio/Farmac;Mediano Costo;DOPPLER ULTRASONIDO PORTATIL;EDAN;SONOTRAX II PRO;304127-M14506620012;1399;;8;PROPIO;;RELEVANTE;;;1;medico;0;5;0
Maternidad;Hospital de Contulmo;Apoyo Terapeutico;Alto Costo;INCUBADORA TRANSPORTE RN;AIRBURNE;185 A;1073;1234;;8;PROPIO;;CRITICO;;;1;medico;0;5;0
Maternidad;Hospital de Contulmo;Laboratorio/Farmac;Mediano Costo;CUNA RADIANTE;FISHER&PAIKEL;COSYCOT;9895AEU00376;1395;;10;PROPIO;;IM ? 12;;;1;medico;0;5;0
