ubicacion;clase;subclase;nombre;cantidad;marca;modelo;estado;normativa;garantia;vencimientoGarantia;planMantencion;tipoEquipo;idConvenio;idInstitucion;eliminado
;APOYO INDUSTRIAL;LAVADO;LAVADORA DE ROPA 1;;PRIMUS;PMC500T0B0PU2BV0AA;BUENO;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;LAVADO;LAVADORA DE ROPA 2;;PRIMUS;PMC500T0B0PU2BV0AA;BUENO;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;LAVADO;SECADORA DE ROPA 1;;PRIMUS;PT075EEOM1S2N01;BUENO;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;LAVADO;SECADORA DE ROPA 2;;PRIMUS;PT075EEOM1S2N01;BUENO;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;LAVADO;PLANCHADORA DE ROPA;;PRIMUS;I50-160;BUENO;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;LAVADO;SECADORA DE ROPA;;CISELL;CT075ERDM1S1W02;REGULAR ;;;;;industrial;0;3;0
;ENERGIA;ELECTRICA;GRUPO ELECTROGENO ;;CATERPILLAR;450 KVA;REGULAR ;;;;;industrial;0;3;0
;ENERGIA;CALORICA;UMA IG-01 PARTOS 1;;IVAC;UTA 20 ST;REGULAR ;;;;;industrial;0;3;0
;ENERGIA;CALORICA;UMA IG-02 PARTOS 2;;IVAC;UTA 15 ST;REGULAR ;;;;;industrial;0;3;0
;ENERGIA;CALORICA;UMA IG-03 PABELLON 1;;IVAC;UTA 20 ST;REGULAR ;;;;;industrial;0;3;0
;ENERGIA;CALORICA;UMA IG-04 PABELLON 2;;IVAC;UTA 20 ST;REGULAR ;;;;;industrial;0;3;0
;ENERGIA;CALORICA;UMA IG-05 PABELLON 3;;IVAC;UTA 20 ST;REGULAR ;;;;;industrial;0;3;0
;ENERGIA;CALORICA;UMA IG-06 PREPARTO;;IVAC;UTA 20 ST;REGULAR ;;;;;industrial;0;3;0
;ENERGIA;CALORICA;UMA IG-07 PASILLOS PABELLONES;;IVAC;UTA 20 ST;REGULAR ;;;;;industrial;0;3;0
;ENERGIA;CALORICA;UMA IG-08 ESTAR MEDICOS;;IVAC;UTA 15 ST;REGULAR ;;;;;industrial;0;3;0
