ubicacion;subUbicacion;clase;subclase;nombre;marca;modelo;serie;numeroInventario;ano;vidaUtil;propietario;estado;criticidad;garantia;vencimientoGarantia;planMantencion;tipoEquipo;idConvenio;idInstitucion;eliminado
POST OPERADOS;;Monitoreo;Mediano Costo;Monitor ECG/signos vitales mediana complejidad;DRAGER ;INFINITY VISTA ;5514404870;4289;2008;10;Propio;Regular;Critico;0;;1;medico;0;3;0
POST OPERADOS;;Apoyo Diagnostico;Bajo Costo;Balanza adulto con tallimetro;SECA;7001021998;5.70018E+12;4290;2008;8;Propio;Regular;No aplica;0;;1;medico;0;3;0
APS;;Apoyo Diagnostico;Bajo costo;Detector latido cardiofetal;ELITE;200;EC10788;4867;2008;5;Propio;Malo;No aplica;0;;1;medico;0;3;0
APS;;Apoyo Terapeutico;Bajo Costo;CORTADOR DE YESO;KOHLBACH;4856;40141435000;6812;2008;8;Propio;Malo;No aplica;0;;1;medico;0;3;0
MQ ANEXO;;Apoyo Diagnostico;Bajo Costo;Balanza adulto con tallimetro;DETECTO;2392;616814-0038;7870;2008;8;Propio;Regular;No aplica;0;;1;medico;0;3;0
SAMU;;Apoyo Terapeutico;Mediano Costo;OXICAPNOGRAFO;NONIN;9847;500192805;10343;2010;8;Propio;Regular;No aplica;0;;1;medico;0;3;0
POST OPERADOS;;Monitoreo;Mediano Costo;Monitor ECG/signos vitales mediana complejidad;PHILIPS;INTELLIVUE MP2;DE50720038;11072;2015;10;Propio;Bueno;Critico;0;;1;medico;0;3;0
POST OPERADOS;;Monitoreo;Mediano Costo;Monitor ECG/signos vitales mediana complejidad;DATEX-OHMEDA ;CARDIOCAP 5;6186326;11100;2008;10;Propio;Regular;Critico;0;;1;medico;0;3;0
POST OPERADOS;;Imagenologia;Alto Costo;Ecotomografo doppler color cardiologico;GENERAL ELECTRIC;LOGIQ E ;405682WX6;11148;2015;8;Propio;Bueno;Relevante;0;;1;medico;0;3;0
KINESIOLOGIA;;Med. Fis. Rehabilitacion;Bajo Costo;TENS;CENTURY;2100;SIN INFORMACION;11293;2008;5;Propio;Malo;No aplica;0;;1;medico;0;3;0
PABELLON;;Apoyo Quirurgico;Alto Costo;TORRE LAPAROSCOPIA /ARTROSCOPIA;STRYKER;1288;    1407ce121                           ;11315;2014;8;Propio;Bueno;No aplica;0;;1;medico;0;3;0
MQM;;Apoyo Quirurgico;Bajo costo;Bomba de aspiracion universal;THOMAS;1132;SIN INFORMACION;11321;2008;10;Propio;Regular;No aplica;0;;1;medico;0;3;0
APS;;Apoyo Diagnostico;Bajo Costo;Tallimetro infantil;SECA;416;5.41633E+12;11397;2016;8;Propio;Bueno;No aplica;0;;1;medico;0;3;0
MQ RESP ;;Apoyo Diagnostico;Bajo Costo;Balanza adulto con tallimetro;DETECTO;2392;E16714-8356;11408;2008;8;Propio;Regular;No aplica;0;;1;medico;0;3;0
PABELLON;;Apoyo Quirurgico;Instrumental;FIBRAS PARA OPTICAS ;RICHARD WOLF;8061.456;1095745;11442;2014;8;Propio;Bueno;No aplica;0;;1;medico;0;3;0
PABELLON;;Apoyo Quirurgico;Instrumental;FIBRAS PARA OPTICAS ;RICHARD WOLF;8061.453;SIN INFORMACION ;11444;2014;8;Propio;Bueno;No aplica;0;;1;medico;0;3;0
PABELLON;;Apoyo Quirurgico;Instrumental;FIBRAS PARA OPTICAS ;RICHARD WOLF;8061.456;1197756;11449;2014;8;Propio;Bueno;No aplica;0;;1;medico;0;3;0
UPC;;Apoyo Terapeutico;Mediano Costo;Marcapasos externo;MEDTRONIC;5388;PFG156315R;11478;2015;8;Propio;Bueno;No aplica;0;;1;medico;0;3;0
PABELLON;;Apoyo Terapeutico;Mediano Costo;ESTIMULADOR MARCAPASO;MEDTRONIC;5392;DJH006398P;14896;2014;8;Propio;Bueno;No aplica;0;;1;medico;0;3;0
PABELLON;;Apoyo Terapeutico;Mediano Costo ;EQUIPO DE ISQUEMIA ;ZIMMER;ATS 4000TS;4014FAGF;15770;2015;8;Propio;Bueno;No aplica;0;;1;medico;0;3;0
POST OPERADOS;;Monitoreo;Mediano Costo;Monitor ECG/Signos vitales alta complejidad;PHILIPS;INTELLIVUE MX450;DE35137565;16111;2016;10;Propio;Bueno;Critico;0;;1;medico;0;3;0
POST OPERADOS;;Monitoreo;Mediano Costo;Monitor ECG/Signos vitales alta complejidad;PHILIPS;INTELLIVUE MX450;DE35137532;16113;2016;10;Propio;Bueno;Critico;0;;1;medico;0;3;0
POST OPERADOS;;Monitoreo;Mediano Costo;Monitor ECG/Signos vitales alta complejidad;PHILIPS;INTELLIVUE MX450;DE35137562;16114;2016;10;Propio;Bueno;Critico;0;;1;medico;0;3;0
POST OPERADOS;;Laboratorio/Farmac;Mediano Costo;REFRIGERADOR CLINICO DE 100 LT ;HAIER;HYC-1189-ARQ;BE069  DEONO 0QEJ5 R0005;18157;2018;10;Propio;Bueno;No aplica;0;;1;medico;0;3;0
PABELLON;;Apoyo Quirurgico;Alto Costo;TORRE DE ARTROSCOPIA;STRYKER;1588;SV7328H0031;18241;2018;8;Propio;Bueno;No aplica;0;;1;medico;0;3;0
POST OPERADOS;;URGENCIA ;Bajo Costo;CAMILLA REANIMACION;MALVESTIO;INTHES;20037107/18;18442;2018;10;Propio;Bueno;No aplica;0;;1;medico;0;3;0
POST OPERADOS;;URGENCIA ;Bajo Costo;CAMILLA REANIMACION;MALVESTIO;INTHES;20037108/18;18443;2018;10;Propio;Bueno;No aplica;0;;1;medico;0;3;0
ESTERILIZACION;;Esterilizacion;Mediano Costo;LAVADORA ULTRASONICA;GETINGE;450;S1000002368;18449;2018;8;Propio;Regular;General;0;;1;medico;0;3;0
ESTERILIZACION;;Esterilizacion;Mediano Costo;LAVADORA ULTRASONICA;GETINGE;450;S1000002369;18450;2018;8;Propio;Regular;GENERAL;0;;1;medico;0;3;0
PREPARTO;;Apoyo Quirurgico;Alto Costo;MESA DE PARTOS;STRYKER;4701;2.01801E+12;18752;2018;10;Propio;Bueno;No aplica;0;;1;medico;0;3;0
PREPARTO;;Apoyo Quirurgico;Alto Costo;MESA DE PARTOS;STRYKER;4701;2.01801E+12;18753;2018;10;Propio;Bueno;No aplica;0;;1;medico;0;3;0
MQ RESP;;MEDICO QUIRURGICO HOMBRES;Bajo Costo;CATRE CLINICO MANUAL;MALVESTIO;345500;20040856;18854;2018;10;Propio;Bueno;No aplica;0;;1;medico;0;3;0
MQ NO RESP;;MEDICO QUIRURGICO HOMBRES;Bajo Costo;CATRE CLINICO MANUAL;MALVESTIO;345500;20040855;18855;2018;10;Propio;Bueno;No aplica;0;;1;medico;0;3;0
MQ NO RESP;;MEDICO QUIRURGICO HOMBRES;Bajo Costo;CATRE CLINICO MANUAL;MALVESTIO;345500;20040854;18856;2018;10;Propio;Bueno;No aplica;0;;1;medico;0;3;0
MQH;;MEDICO QUIRURGICO HOMBRES;Bajo Costo;CATRE CLINICO MANUAL;MALVESTIO;345500;20040857;18857;2018;10;Propio;Bueno;No aplica;0;;1;medico;0;3;0
MATERNIDAD;;OBSTETRICIA Y GINECOLOGIA;Bajo Costo;CATRE CLINICO MANUAL;MALVESTIO;345500;20040710;18858;2018;10;Propio;Bueno;No aplica;0;;1;medico;0;3;0
MATERNIDAD;;OBSTETRICIA Y GINECOLOGIA;Bajo Costo;CATRE CLINICO MANUAL;MALVESTIO;345500;20040711;18859;2018;10;Propio;Bueno;No aplica;0;;1;medico;0;3;0
