ubicacion;clase;subclase;nombre;cantidad;marca;modelo;estado;normativa;garantia;vencimientoGarantia;planMantencion;tipoEquipo;idConvenio;idInstitucion;eliminado
;CENTRAL TERMICA;APOYO INDUSTRIAL;REFRIGERACION;DISPENSADOR DE AGUA;MAQUISERVI;PURIFICADOR DE COLUNA;BUENO;;0;;;industrial;0;1;0
;COMEDORES;APOYO INDUSTRIAL;REFRIGERACION;DISPENSADOR DE AGUA;AQUA FREE;WP-1000REAC;BUENO;;0;;;industrial;0;1;0
;MEDICINA;APOYO INDUSTRIAL;REFRIGERACION;DISPENSADOR DE AGUA;AQUA FREE;WP-1000REAC;BUENO;;0;;;industrial;0;1;0
;ESTERILIZACION;APOYO INDUSTRIAL;REFRIGERACION;DISPENSADOR DE AGUA;MAQUISERVI;PURIFICADOR DE COLUNA;BUENO;;0;;;industrial;0;1;0
;MANTENCION;APOYO INDUSTRIAL;ELECTRICA;GENERADOR 100 KVA;ENGGA;AVR WT-2;BUENO;;0;;;industrial;0;1;0
;MANTENCION;APOYO INDUSTRIAL;ELECTRICA;GENERADOR 62,5 KVA;POWER GENERATING SET;GF4-50;BUENO;;0;;;industrial;0;1;0
;LAVANDERIA;APOYO INDUSTRIAL;LAVADO;LAVADORA;IPSO;WE181 C;BUENO;;0;;;industrial;0;1;0
;LAVANDERIA;APOYO INDUSTRIAL;LAVADO;LAVADORA;IPSO;WE181 C;BUENO;;0;;;industrial;0;1;0
;LAVANDERIA;APOYO INDUSTRIAL;LAVADO;LAVADORA;PECAS WALLING  SA;MAID;BUENO;;0;;;industrial;0;1;0
;LAVANDERIA;APOYO INDUSTRIAL;SECADO;SECADORA;CISSEL;CTO 355 MTS 251 W 00;BUENO;;0;;;industrial;0;1;0
;LAVANDERIA;APOYO INDUSTRIAL;SECADO;SECADORA;CISSEL;CTO 355 MTS 251 W 00;BUENO;;0;;;industrial;0;1;0
